model,threshold,f1,precision,recall,auc_roc
LogisticRegression,0.1,0.1298,0.0694,1.0,0.8518
LogisticRegression,0.2,0.1298,0.0694,1.0,0.8518
LogisticRegression,0.3,0.2075,0.1168,0.9278,0.8518
LogisticRegression,0.4,0.2683,0.1587,0.8667,0.8518
LogisticRegression,0.5,0.3651,0.2396,0.7667,0.8518
LogisticRegression,0.6,0.3964,0.2709,0.7389,0.8518
LogisticRegression,0.7,0.4084,0.2883,0.7,0.8518
LogisticRegression,0.8,0.4254,0.3313,0.5944,0.8518
LogisticRegression,0.9,0.3556,0.3556,0.3556,0.8518
RandomForest,0.1,0.1307,0.0699,1.0,0.776
RandomForest,0.2,0.143,0.0771,0.9833,0.776
RandomForest,0.3,0.1488,0.0806,0.9667,0.776
RandomForest,0.4,0.1582,0.0864,0.9333,0.776
RandomForest,0.5,0.183,0.1029,0.8278,0.776
RandomForest,0.6,0.2623,0.1623,0.6833,0.776
RandomForest,0.7,0.3328,0.2346,0.5722,0.776
RandomForest,0.8,0.3281,0.3088,0.35,0.776
RandomForest,0.9,0.2383,0.5091,0.1556,0.776
XGBoost,0.1,0.1415,0.0763,0.9833,0.8065
XGBoost,0.2,0.1488,0.0806,0.9667,0.8065
XGBoost,0.3,0.1633,0.0895,0.9333,0.8065
XGBoost,0.4,0.164,0.0899,0.9278,0.8065
XGBoost,0.5,0.1717,0.0948,0.9056,0.8065
XGBoost,0.6,0.2107,0.1198,0.8722,0.8065
XGBoost,0.7,0.2557,0.1533,0.7722,0.8065
XGBoost,0.8,0.3684,0.2617,0.6222,0.8065
XGBoost,0.9,0.3397,0.3351,0.3444,0.8065
