OBJECTID,Year,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NA,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Are,Shape__Len,latitude,longitude,zip,Alarm_Date2,year_month,AGENCY_ID,FIRE_NAME_ID,avg_tmax_c,avg_tmin_c,tot_prcp_mm,station,zip_recovered,recovery_dist_deg,year
1653.0,2019.0,CDF,MEU,GRADE,00008307,7/16/17,7/21/17,10.0,7.0,1.0,890.5153,,,,,2010.0,6026478.328,12088.337014051653,39.302085495121496,-123.2668127,95470,2017-07-16,2017-07,0.0,92.0,,,,,,,2019
1982.0,2018.0,CCO,VNC,SOUTH,00113365,12/21/17,12/21/17,14.0,6.0,1.0,0.01809152,17-0113365,,,,2010.0,107.640625,39.37442500166178,34.34057742228582,-119.0517068,93060,2017-12-21,2017-12,2.0,102.0,,,,,,,2018
1980.0,2018.0,CCO,VNC,BALCOM,00113691,12/22/17,12/22/17,14.0,6.0,1.0,0.3788415,17-0113691,,,,2010.0,2253.476563,221.1435717153833,34.326575776600954,-118.9776394,93066,2017-12-22,2017-12,2.0,1400.0,,,,,,,2018
2183.0,2018.0,NPS,SMP,SERRA,,1/29/18,1/30/18,14.0,8.0,1.0,2.600558,"Serra 1/29/2018, LACFD reported 2acres. Some susp*",,,,2010.0,15365.14844,812.7431233467285,34.03976246933086,-118.6888582,90265,2018-01-29,2018-01,5.0,1515.0,21.748387096774195,11.432258064516128,35.5,72295.0,,,2018
1930.0,2018.0,CCO,VNC,ERBES,00009049,1/31/18,1/31/18,14.0,6.0,1.0,0.02883826,18-0009049,,,,2010.0,171.1796875,48.44132076788071,34.235451669993864,-118.8464216,91360,2018-01-31,2018-01,2.0,749.0,21.44838709677419,9.829032258064515,18.8,72391.0,,,2018
2019.0,2018.0,CCO,ORC,EL TORO IC,18009721,1/24/18,1/24/18,14.0,6.0,1.0,0.09832976,,,,,2010.0,575.6367188,160.24179473004696,33.646020858014495,-117.6648512,92630,2018-01-24,2018-01,2.0,1424.0,23.416129032258063,10.629032258064516,37.6,72297.0,,,2018
2016.0,2018.0,LRA,ORC,RIDGE ROUTE,18009321,1/23/18,1/23/18,14.0,6.0,1.0,0.1679536,,,,,2010.0,982.8085938,137.6262854051816,33.622366065752864,-117.7321222,92653,2018-01-23,2018-01,1.0,1422.0,23.416129032258063,10.629032258064516,37.6,72297.0,,,2018
2017.0,2018.0,LRA,ORC,CREEK,18011407,1/28/18,1/28/18,14.0,1.0,1.0,0.4142567,,,,,2010.0,2417.058594,220.26559801672192,33.49695338897877,-117.6573303,92675,2018-01-28,2018-01,1.0,79.0,23.416129032258063,10.629032258064516,37.6,72297.0,,,2018
1941.0,2018.0,CCO,VNC,HARBOR,00008258,1/29/18,1/29/18,14.0,6.0,1.0,0.001796366,18-0008258,,,,2010.0,10.66796875,11.884821185078131,34.27708040874702,-119.3074839,93001,2018-01-29,2018-01,2.0,1381.0,21.44838709677419,9.829032258064515,18.8,72391.0,,,2018
1961.0,2018.0,CCO,VNC,MAIN,00000852,1/3/18,1/3/18,14.0,6.0,1.0,0.03201193,Cause under investigation 18-0000852,,,,2010.0,190.234375,53.13506408781415,34.284096133631884,-119.3056545,93001,2018-01-03,2018-01,2.0,150.0,21.44838709677419,9.829032258064515,18.8,72391.0,,,2018
1949.0,2018.0,CCO,VNC,CENTER,00005891,1/20/18,1/20/18,14.0,6.0,1.0,0.6356196,18-0005891,,,,2010.0,3773.546875,225.01914895929377,34.244298345585186,-119.1911966,93004,2018-01-20,2018-01,2.0,377.0,21.44838709677419,9.829032258064515,18.8,72391.0,,,2018
1934.0,2018.0,CCO,VNC,SURF,00008244,1/28/18,1/29/18,14.0,1.0,1.0,1.48225,Cause under investigation 18-0008244,,,,2010.0,8778.25,467.1484490001734,34.139786278950524,-119.1876746,93041,2018-01-28,2018-01,2.0,1383.0,21.44838709677419,9.829032258064515,18.8,72391.0,,,2018
1937.0,2018.0,CCO,VNC,MCWANE,00038177,1/28/18,1/29/18,14.0,1.0,1.0,0.7208683,Cause under investigation 18-0008244,,,,2010.0,4269.351563,259.02807320056075,34.141861418570706,-119.1802086,93041,2018-01-28,2018-01,2.0,1385.0,21.44838709677419,9.829032258064515,18.8,72391.0,,,2018
1939.0,2018.0,CCO,VNC,ERRINGER,00008902,1/31/18,1/31/18,9.0,6.0,1.0,0.002820561,Unintentional 18-0008902,,,,2010.0,16.765625,15.044787124536835,34.28253888847779,-118.7458438,93065,2018-01-31,2018-01,2.0,1386.0,21.44838709677419,9.829032258064515,18.8,72391.0,,,2018
1958.0,2018.0,CCO,VNC,BALCOM,00008020,1/28/18,1/28/18,14.0,6.0,1.0,0.766014,18-0008020,,,,2010.0,4552.765625,247.5953684761164,34.29191749021445,-118.9631214,93066,2018-01-28,2018-01,2.0,1400.0,21.44838709677419,9.829032258064515,18.8,72391.0,,,2018
