zip,year,wildfire
90001,2018,0
90001,2019,0
90001,2020,0
90001,2021,0
90002,2018,0
90002,2019,0
90002,2020,0
90002,2021,0
90003,2018,0
90003,2019,0
90003,2020,0
90003,2021,0
90004,2018,0
90004,2019,0
90004,2020,0
90004,2021,0
90005,2018,0
90005,2019,0
90005,2020,0
90005,2021,0
90006,2018,0
90006,2019,0
90006,2020,0
90006,2021,0
90007,2018,0
90007,2019,0
90007,2020,0
90007,2021,0
90008,2018,0
90008,2019,0
90008,2020,0
90008,2021,0
90009,2018,0
90009,2019,0
90009,2020,0
90009,2021,0
90010,2018,0
90010,2019,0
90010,2020,0
90010,2021,0
90011,2018,0
90011,2019,0
90011,2020,0
90011,2021,0
90012,2018,0
90012,2019,0
90012,2020,0
90012,2021,0
90013,2018,0
90013,2019,0
90013,2020,0
90013,2021,0
90014,2018,0
90014,2019,0
90014,2020,0
90014,2021,0
90015,2018,0
90015,2019,0
90015,2020,0
90015,2021,0
90016,2018,0
90016,2019,0
90016,2020,0
90016,2021,0
90017,2018,0
90017,2019,0
90017,2020,0
90017,2021,0
90018,2018,0
90018,2019,0
90018,2020,0
90018,2021,0
90019,2018,0
90019,2019,0
90019,2020,0
90019,2021,0
90020,2018,0
90020,2019,0
90020,2020,0
90020,2021,0
90021,2018,0
90021,2019,0
90021,2020,0
90021,2021,0
90022,2018,0
90022,2019,0
90022,2020,0
90022,2021,0
90023,2018,0
90023,2019,0
90023,2020,0
90023,2021,0
90024,2018,0
90024,2019,0
90024,2020,0
90024,2021,0
90025,2018,0
90025,2019,0
90025,2020,0
90025,2021,0
90026,2018,0
90026,2019,0
90026,2020,0
90026,2021,0
90027,2018,0
90027,2019,0
90027,2020,0
90027,2021,0
90028,2018,0
90028,2019,0
90028,2020,0
90028,2021,0
90029,2018,0
90029,2019,0
90029,2020,0
90029,2021,0
90030,2018,0
90030,2019,0
90030,2020,0
90030,2021,0
90031,2018,0
90031,2019,0
90031,2020,0
90031,2021,0
90032,2018,0
90032,2019,0
90032,2020,0
90032,2021,0
90033,2018,0
90033,2019,0
90033,2020,0
90033,2021,0
90034,2018,0
90034,2019,0
90034,2020,0
90034,2021,0
90035,2018,0
90035,2019,0
90035,2020,0
90035,2021,0
90036,2018,0
90036,2019,0
90036,2020,0
90036,2021,0
90037,2018,0
90037,2019,0
90037,2020,0
90037,2021,0
90038,2018,0
90038,2019,0
90038,2020,0
90038,2021,0
90039,2018,0
90039,2019,0
90039,2020,0
90039,2021,0
90040,2018,0
90040,2019,0
90040,2020,0
90040,2021,0
90041,2018,0
90041,2019,0
90041,2020,0
90041,2021,0
90042,2018,0
90042,2019,0
90042,2020,0
90042,2021,0
90043,2018,0
90043,2019,0
90043,2020,0
90043,2021,0
90044,2018,0
90044,2019,0
90044,2020,0
90044,2021,0
90045,2018,0
90045,2019,0
90045,2020,0
90045,2021,0
90046,2018,0
90046,2019,1
90046,2020,0
90046,2021,0
90047,2018,0
90047,2019,0
90047,2020,0
90047,2021,0
90048,2018,0
90048,2019,0
90048,2020,0
90048,2021,0
90049,2018,0
90049,2019,1
90049,2020,0
90049,2021,0
90050,2018,0
90050,2019,0
90050,2020,0
90050,2021,0
90051,2018,0
90051,2019,0
90051,2020,0
90051,2021,0
90052,2018,0
90052,2019,0
90052,2020,0
90052,2021,0
90053,2018,0
90053,2019,0
90053,2020,0
90053,2021,0
90054,2018,0
90054,2019,0
90054,2020,0
90054,2021,0
90055,2018,0
90055,2019,0
90055,2020,0
90055,2021,0
90056,2018,0
90056,2019,0
90056,2020,0
90056,2021,0
90057,2018,0
90057,2019,0
90057,2020,0
90057,2021,0
90058,2018,0
90058,2019,0
90058,2020,0
90058,2021,0
90059,2018,0
90059,2019,0
90059,2020,0
90059,2021,0
90060,2018,0
90060,2019,0
90060,2020,0
90060,2021,0
90061,2018,0
90061,2019,0
90061,2020,0
90061,2021,0
90062,2018,0
90062,2019,0
90062,2020,0
90062,2021,0
90063,2018,0
90063,2019,0
90063,2020,0
90063,2021,0
90064,2018,0
90064,2019,0
90064,2020,0
90064,2021,0
90065,2018,0
90065,2019,0
90065,2020,0
90065,2021,0
90066,2018,0
90066,2019,0
90066,2020,0
90066,2021,0
90067,2018,0
90067,2019,0
90067,2020,0
90067,2021,0
90068,2018,0
90068,2019,1
90068,2020,0
90068,2021,0
90069,2018,0
90069,2019,0
90069,2020,0
90069,2021,0
90070,2018,0
90070,2019,0
90070,2020,0
90070,2021,0
90071,2018,0
90071,2019,0
90071,2020,0
90071,2021,0
90072,2018,0
90072,2019,0
90072,2020,0
90072,2021,0
90073,2018,0
90073,2019,0
90073,2020,0
90073,2021,0
90074,2018,0
90074,2019,0
90074,2020,0
90074,2021,0
90075,2018,0
90075,2019,0
90075,2020,0
90075,2021,0
90076,2018,0
90076,2019,0
90076,2020,0
90076,2021,0
90077,2018,0
90077,2019,0
90077,2020,0
90077,2021,0
90078,2018,0
90078,2019,0
90078,2020,0
90078,2021,0
90079,2018,0
90079,2019,0
90079,2020,0
90079,2021,0
90080,2018,0
90080,2019,0
90080,2020,0
90080,2021,0
90081,2018,0
90081,2019,0
90081,2020,0
90081,2021,0
90082,2018,0
90082,2019,0
90082,2020,0
90082,2021,0
90083,2018,0
90083,2019,0
90083,2020,0
90083,2021,0
90084,2018,0
90084,2019,0
90084,2020,0
90084,2021,0
90086,2018,0
90086,2019,0
90086,2020,0
90086,2021,0
90087,2018,0
90087,2019,0
90087,2020,0
90087,2021,0
90088,2018,0
90088,2019,0
90088,2020,0
90088,2021,0
90089,2018,0
90089,2019,0
90089,2020,0
90089,2021,0
90090,2018,0
90090,2019,0
90090,2020,0
90090,2021,0
90091,2018,0
90091,2019,0
90091,2020,0
90091,2021,0
90093,2018,0
90093,2019,0
90093,2020,0
90093,2021,0
90094,2018,0
90094,2019,0
90094,2020,0
90094,2021,0
90095,2018,0
90095,2019,0
90095,2020,0
90095,2021,0
90096,2018,0
90096,2019,0
90096,2020,0
90096,2021,0
90099,2018,0
90099,2019,0
90099,2020,0
90099,2021,0
90134,2018,0
90134,2019,0
90134,2020,0
90134,2021,0
90189,2018,0
90189,2019,0
90189,2020,0
90189,2021,0
90201,2018,0
90201,2019,0
90201,2020,0
90201,2021,0
90202,2018,0
90202,2019,0
90202,2020,0
90202,2021,0
90209,2018,0
90209,2019,0
90209,2020,0
90209,2021,0
90210,2018,0
90210,2019,0
90210,2020,0
90210,2021,0
90211,2018,0
90211,2019,0
90211,2020,0
90211,2021,0
90212,2018,0
90212,2019,0
90212,2020,0
90212,2021,0
90213,2018,0
90213,2019,0
90213,2020,0
90213,2021,0
90220,2018,0
90220,2019,0
90220,2020,0
90220,2021,0
90221,2018,0
90221,2019,0
90221,2020,0
90221,2021,0
90222,2018,0
90222,2019,0
90222,2020,0
90222,2021,0
90223,2018,0
90223,2019,0
90223,2020,0
90223,2021,0
90224,2018,0
90224,2019,0
90224,2020,0
90224,2021,0
90230,2018,0
90230,2019,0
90230,2020,0
90230,2021,0
90231,2018,0
90231,2019,0
90231,2020,0
90231,2021,0
90232,2018,0
90232,2019,0
90232,2020,0
90232,2021,0
90233,2018,0
90233,2019,0
90233,2020,0
90233,2021,0
90239,2018,0
90239,2019,0
90239,2020,0
90239,2021,0
90240,2018,0
90240,2019,0
90240,2020,0
90240,2021,0
90241,2018,0
90241,2019,0
90241,2020,0
90241,2021,0
90242,2018,0
90242,2019,0
90242,2020,0
90242,2021,0
90245,2018,0
90245,2019,0
90245,2020,0
90245,2021,0
90247,2018,0
90247,2019,0
90247,2020,0
90247,2021,0
90248,2018,0
90248,2019,0
90248,2020,0
90248,2021,0
90249,2018,0
90249,2019,0
90249,2020,0
90249,2021,0
90250,2018,0
90250,2019,0
90250,2020,0
90250,2021,0
90251,2018,0
90251,2019,0
90251,2020,0
90251,2021,0
90254,2018,0
90254,2019,0
90254,2020,0
90254,2021,0
90255,2018,0
90255,2019,0
90255,2020,0
90255,2021,0
90260,2018,0
90260,2019,0
90260,2020,0
90260,2021,0
90261,2018,0
90261,2019,0
90261,2020,0
90261,2021,0
90262,2018,0
90262,2019,0
90262,2020,0
90262,2021,0
90263,2018,0
90263,2019,0
90263,2020,0
90263,2021,0
90264,2018,0
90264,2019,0
90264,2020,0
90264,2021,0
90265,2018,1
90265,2019,1
90265,2020,1
90265,2021,1
90266,2018,0
90266,2019,0
90266,2020,0
90266,2021,0
90267,2018,0
90267,2019,0
90267,2020,0
90267,2021,0
90270,2018,0
90270,2019,0
90270,2020,0
90270,2021,0
90272,2018,0
90272,2019,1
90272,2020,0
90272,2021,1
90274,2018,0
90274,2019,0
90274,2020,0
90274,2021,0
90275,2018,0
90275,2019,0
90275,2020,0
90275,2021,0
90277,2018,0
90277,2019,0
90277,2020,0
90277,2021,0
90278,2018,0
90278,2019,0
90278,2020,0
90278,2021,0
90280,2018,0
90280,2019,0
90280,2020,0
90280,2021,0
90290,2018,1
90290,2019,1
90290,2020,0
90290,2021,1
90291,2018,0
90291,2019,0
90291,2020,0
90291,2021,0
90292,2018,0
90292,2019,0
90292,2020,0
90292,2021,0
90293,2018,0
90293,2019,0
90293,2020,0
90293,2021,0
90294,2018,0
90294,2019,0
90294,2020,0
90294,2021,0
90295,2018,0
90295,2019,0
90295,2020,0
90295,2021,0
90296,2018,0
90296,2019,0
90296,2020,0
90296,2021,0
90301,2018,0
90301,2019,0
90301,2020,0
90301,2021,0
90302,2018,0
90302,2019,0
90302,2020,0
90302,2021,0
90303,2018,0
90303,2019,0
90303,2020,0
90303,2021,0
90304,2018,0
90304,2019,0
90304,2020,0
90304,2021,0
90305,2018,0
90305,2019,0
90305,2020,0
90305,2021,0
90306,2018,0
90306,2019,0
90306,2020,0
90306,2021,0
90307,2018,0
90307,2019,0
90307,2020,0
90307,2021,0
90308,2018,0
90308,2019,0
90308,2020,0
90308,2021,0
90309,2018,0
90309,2019,0
90309,2020,0
90309,2021,0
90310,2018,0
90310,2019,0
90310,2020,0
90310,2021,0
90311,2018,0
90311,2019,0
90311,2020,0
90311,2021,0
90312,2018,0
90312,2019,0
90312,2020,0
90312,2021,0
90401,2018,0
90401,2019,0
90401,2020,0
90401,2021,0
90402,2018,0
90402,2019,0
90402,2020,0
90402,2021,0
90403,2018,0
90403,2019,0
90403,2020,0
90403,2021,0
90404,2018,0
90404,2019,0
90404,2020,0
90404,2021,0
90405,2018,0
90405,2019,0
90405,2020,0
90405,2021,0
90406,2018,0
90406,2019,0
90406,2020,0
90406,2021,0
90407,2018,0
90407,2019,0
90407,2020,0
90407,2021,0
90408,2018,0
90408,2019,0
90408,2020,0
90408,2021,0
90409,2018,0
90409,2019,0
90409,2020,0
90409,2021,0
90410,2018,0
90410,2019,0
90410,2020,0
90410,2021,0
90411,2018,0
90411,2019,0
90411,2020,0
90411,2021,0
90501,2018,0
90501,2019,0
90501,2020,0
90501,2021,0
90502,2018,0
90502,2019,0
90502,2020,0
90502,2021,0
90503,2018,0
90503,2019,0
90503,2020,0
90503,2021,0
90504,2018,0
90504,2019,0
90504,2020,0
90504,2021,0
90505,2018,0
90505,2019,0
90505,2020,0
90505,2021,0
90506,2018,0
90506,2019,0
90506,2020,0
90506,2021,0
90507,2018,0
90507,2019,0
90507,2020,0
90507,2021,0
90508,2018,0
90508,2019,0
90508,2020,0
90508,2021,0
90509,2018,0
90509,2019,0
90509,2020,0
90509,2021,0
90510,2018,0
90510,2019,0
90510,2020,0
90510,2021,0
90601,2018,0
90601,2019,0
90601,2020,1
90601,2021,0
90602,2018,0
90602,2019,0
90602,2020,0
90602,2021,1
90603,2018,0
90603,2019,0
90603,2020,0
90603,2021,0
90604,2018,0
90604,2019,0
90604,2020,0
90604,2021,0
90605,2018,0
90605,2019,0
90605,2020,0
90605,2021,0
90606,2018,0
90606,2019,0
90606,2020,0
90606,2021,0
90607,2018,0
90607,2019,0
90607,2020,0
90607,2021,0
90608,2018,0
90608,2019,0
90608,2020,0
90608,2021,0
90609,2018,0
90609,2019,0
90609,2020,0
90609,2021,0
90610,2018,0
90610,2019,0
90610,2020,0
90610,2021,0
90620,2018,0
90620,2019,0
90620,2020,0
90620,2021,0
90621,2018,0
90621,2019,0
90621,2020,0
90621,2021,0
90622,2018,0
90622,2019,0
90622,2020,0
90622,2021,0
90623,2018,0
90623,2019,0
90623,2020,0
90623,2021,0
90624,2018,0
90624,2019,0
90624,2020,0
90624,2021,0
90630,2018,0
90630,2019,0
90630,2020,0
90630,2021,0
90631,2018,0
90631,2019,0
90631,2020,1
90631,2021,0
90632,2018,0
90632,2019,0
90632,2020,0
90632,2021,0
90633,2018,0
90633,2019,0
90633,2020,0
90633,2021,0
90637,2018,0
90637,2019,0
90637,2020,0
90637,2021,0
90638,2018,0
90638,2019,0
90638,2020,0
90638,2021,0
90639,2018,0
90639,2019,0
90639,2020,0
90639,2021,0
90640,2018,0
90640,2019,0
90640,2020,0
90640,2021,0
90650,2018,0
90650,2019,0
90650,2020,0
90650,2021,0
90651,2018,0
90651,2019,0
90651,2020,0
90651,2021,0
90652,2018,0
90652,2019,0
90652,2020,0
90652,2021,0
90660,2018,0
90660,2019,0
90660,2020,0
90660,2021,0
90661,2018,0
90661,2019,0
90661,2020,0
90661,2021,0
90662,2018,0
90662,2019,0
90662,2020,0
90662,2021,0
90670,2018,0
90670,2019,0
90670,2020,0
90670,2021,0
90671,2018,0
90671,2019,0
90671,2020,0
90671,2021,0
90680,2018,0
90680,2019,0
90680,2020,0
90680,2021,0
90701,2018,0
90701,2019,0
90701,2020,0
90701,2021,0
90702,2018,0
90702,2019,0
90702,2020,0
90702,2021,0
90703,2018,0
90703,2019,0
90703,2020,0
90703,2021,0
90704,2018,0
90704,2019,0
90704,2020,1
90704,2021,1
90706,2018,0
90706,2019,0
90706,2020,0
90706,2021,0
90707,2018,0
90707,2019,0
90707,2020,0
90707,2021,0
90710,2018,0
90710,2019,0
90710,2020,0
90710,2021,0
90711,2018,0
90711,2019,0
90711,2020,0
90711,2021,0
90712,2018,0
90712,2019,0
90712,2020,0
90712,2021,0
90713,2018,0
90713,2019,0
90713,2020,0
90713,2021,0
90714,2018,0
90714,2019,0
90714,2020,0
90714,2021,0
90715,2018,0
90715,2019,0
90715,2020,0
90715,2021,0
90716,2018,0
90716,2019,0
90716,2020,0
90716,2021,0
90717,2018,0
90717,2019,0
90717,2020,0
90717,2021,0
90720,2018,0
90720,2019,0
90720,2020,0
90720,2021,0
90721,2018,0
90721,2019,0
90721,2020,0
90721,2021,0
90723,2018,0
90723,2019,0
90723,2020,0
90723,2021,0
90731,2018,0
90731,2019,0
90731,2020,0
90731,2021,0
90732,2018,0
90732,2019,0
90732,2020,0
90732,2021,0
90733,2018,0
90733,2019,0
90733,2020,0
90733,2021,0
90734,2018,0
90734,2019,0
90734,2020,0
90734,2021,0
90740,2018,0
90740,2019,0
90740,2020,0
90740,2021,0
90742,2018,0
90742,2019,0
90742,2020,0
90742,2021,0
90743,2018,0
90743,2019,0
90743,2020,0
90743,2021,0
90744,2018,0
90744,2019,0
90744,2020,0
90744,2021,0
90745,2018,0
90745,2019,0
90745,2020,0
90745,2021,0
90746,2018,0
90746,2019,0
90746,2020,0
90746,2021,0
90747,2018,0
90747,2019,0
90747,2020,0
90747,2021,0
90748,2018,0
90748,2019,0
90748,2020,0
90748,2021,0
90749,2018,0
90749,2019,0
90749,2020,0
90749,2021,0
90755,2018,0
90755,2019,0
90755,2020,0
90755,2021,0
90801,2018,0
90801,2019,0
90801,2020,0
90801,2021,0
90802,2018,0
90802,2019,0
90802,2020,0
90802,2021,0
90803,2018,0
90803,2019,0
90803,2020,0
90803,2021,0
90804,2018,0
90804,2019,0
90804,2020,0
90804,2021,0
90805,2018,0
90805,2019,0
90805,2020,0
90805,2021,0
90806,2018,0
90806,2019,0
90806,2020,0
90806,2021,0
90807,2018,0
90807,2019,0
90807,2020,0
90807,2021,0
90808,2018,0
90808,2019,0
90808,2020,0
90808,2021,0
90809,2018,0
90809,2019,0
90809,2020,0
90809,2021,0
90810,2018,0
90810,2019,0
90810,2020,0
90810,2021,0
90813,2018,0
90813,2019,0
90813,2020,0
90813,2021,0
90814,2018,0
90814,2019,0
90814,2020,0
90814,2021,0
90815,2018,0
90815,2019,0
90815,2020,0
90815,2021,0
90822,2018,0
90822,2019,0
90822,2020,0
90822,2021,0
90831,2018,0
90831,2019,0
