zip,year,wildfire
91935,2019,0
93673,2021,0
92413,2018,0
90710,2021,0
91210,2018,0
94291,2020,0
95039,2018,0
93111,2021,0
91006,2020,0
94573,2020,0
96007,2019,1
93790,2021,0
92676,2020,1
95367,2018,0
95644,2020,0
95686,2020,0
93906,2019,0
93777,2019,0
95812,2019,0
94602,2020,0
96011,2018,0
95236,2018,0
95494,2021,0
95044,2021,0
92814,2020,0
96117,2019,1
93541,2021,1
90305,2020,0
93279,2021,0
94563,2018,0
90403,2019,0
93044,2020,0
93724,2020,0
94258,2021,0
91210,2021,0
95325,2020,0
95389,2021,1
95213,2019,0
91978,2021,1
90074,2019,0
94503,2021,1
93905,2019,0
92340,2020,0
93962,2021,0
93745,2021,0
95683,2020,1
94589,2018,0
95151,2019,0
93030,2019,0
90707,2019,0
92052,2018,0
91933,2020,0
93750,2021,0
94256,2019,0
96160,2020,0
92023,2019,0
94596,2018,0
93266,2021,0
93279,2018,0
94707,2021,0
94525,2020,0
95307,2020,0
95192,2020,0
95306,2018,0
93061,2020,0
95196,2018,0
93250,2021,0
96006,2018,0
91711,2020,0
95152,2018,0
93241,2021,0
94666,2021,0
95382,2021,0
94901,2021,0
95485,2018,1
90734,2018,0
95526,2021,0
92504,2020,0
90610,2021,0
95673,2019,0
92276,2018,0
93707,2018,0
93922,2021,0
93099,2020,0
94549,2019,0
95110,2018,0
92150,2021,0
95420,2019,0
93234,2019,0
95916,2018,0
90603,2018,0
95257,2018,0
94127,2020,0
90090,2019,0
93448,2019,0
94559,2018,0
90213,2018,0
95624,2021,0
91359,2020,0
95426,2018,0
93536,2018,1
95215,2018,0
91935,2020,1
92562,2018,0
93530,2019,0
95328,2020,0
92705,2018,0
91116,2018,0
92142,2018,0
92584,2021,0
95420,2020,0
92253,2021,0
92655,2019,0
91337,2021,0
92549,2020,0
95813,2021,0
92186,2021,0
93020,2020,0
91739,2019,0
90018,2019,0
92327,2018,0
93291,2019,0
94286,2020,0
91377,2021,0
91612,2020,0
95117,2018,0
92028,2021,1
95452,2019,0
